setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"140,296,255",273.630892
0,0,300000,100%,raw-br-immed-retired,"11,306,590,300",273.630892
0,0,300000,100%,raw-br-immed-spec,"11,306,590,300",273.630892
0,0,300000,100%,raw-br-indirect-spec,"41,573,325",273.630892
0,0,300000,100%,raw-br-mis-pred,"308,914,149",273.630892
0,0,300000,100%,raw-br-mis-pred-retired,"309,332,679",273.630892
0,0,300000,100%,raw-br-pred,"10,265,567,516",273.279873
0,0,300000,100%,raw-br-retired,"12,977,864,370",273.279873
0,0,300000,100%,raw-br-return-retired,"1,464,678,187",273.279873
0,0,300000,100%,raw-br-return-spec,"1,464,678,187",273.279873
0,0,300000,100%,raw-bus-access,"3,172,313,751",273.279873
0,0,300000,100%,raw-bus-access-normal,0,273.279873
0,0,300000,100%,raw-bus-access-not-shared,0,273.256197
0,0,300000,100%,raw-bus-access-periph,0,273.256197
0,0,300000,100%,raw-bus-access-rd,"1,527,686,692",273.256197
0,0,300000,100%,raw-bus-access-shared,0,273.256197
0,0,300000,100%,raw-bus-access-wr,"1,643,492,036",273.256197
0,0,300000,100%,raw-bus-cycles,"81,743,918,994",273.256197
0,0,300000,100%,raw-cid-write-retired,1,273.095290
0,0,300000,100%,raw-cnt-cycles,0,273.095290
0,0,300000,100%,raw-cpu-cycles,"81,704,163,015",273.095290
0,0,300000,100%,raw-crypto-spec,0,273.095290
0,0,300000,100%,raw-dmb-spec,0,273.095290
0,0,300000,100%,raw-dp-spec,"35,382,753,390",273.071703
0,0,300000,100%,raw-dsb-spec,0,273.071703
0,0,300000,100%,raw-dtlb-walk,"2,041,158",273.071703
0,0,300000,100%,raw-exc-dabort,0,273.071703
0,0,300000,100%,raw-exc-fiq,47,273.071703
0,0,300000,100%,raw-exc-hvc,0,273.071703
0,0,300000,100%,raw-exc-irq,"109,528",273.084932
0,0,300000,100%,raw-exc-pabort,0,273.084932
0,0,300000,100%,raw-exc-return,"162,281",273.084932
0,0,300000,100%,raw-exc-smc,0,273.084932
0,0,300000,100%,raw-exc-svc,0,273.084932
0,0,300000,100%,raw-exc-taken,"162,327",273.084932
0,0,300000,100%,raw-exc-trap-dabort,0,273.005333
0,0,300000,100%,raw-exc-trap-fiq,0,273.005333
0,0,300000,100%,raw-exc-trap-irq,0,273.005333
0,0,300000,100%,raw-exc-trap-other,0,273.005333
0,0,300000,100%,raw-exc-trap-pabort,0,273.005333
0,0,300000,100%,raw-exc-undef,0,273.005333
0,0,300000,100%,raw-inst-retired,"80,002,166,450",273.097575
0,0,300000,100%,raw-inst-spec,"81,012,928,491",273.097575
0,0,300000,100%,raw-isb-spec,0,273.097575
0,0,300000,100%,raw-itlb-walk,"78,870",273.097575
0,0,300000,100%,raw-l1d-cache,"22,191,423,993",273.097575
0,0,300000,100%,raw-l1d-cache-allocate,0,273.097575
0,0,300000,100%,raw-l1d-cache-inval,0,273.150116
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,273.150116
0,0,300000,100%,raw-l1d-cache-rd,"21,748,484,979",273.150116
0,0,300000,100%,raw-l1d-cache-refill,"422,834,576",273.150116
0,0,300000,100%,raw-l1d-cache-refill-inner,"391,020,654",273.150116
0,0,300000,100%,raw-l1d-cache-refill-outer,"34,989,033",273.150116
0,0,300000,100%,raw-l1d-cache-refill-rd,"392,877,540",273.121698
0,0,300000,100%,raw-l1d-cache-refill-wr,"29,615,329",273.121698
0,0,300000,100%,raw-l1d-cache-wb,"683,617,133",273.121698
0,0,300000,100%,raw-l1d-cache-wb-clean,0,273.121698
0,0,300000,100%,raw-l1d-cache-wb-victim,0,273.121698
0,0,300000,100%,raw-l1d-cache-wr,"448,726,217",273.121698
0,0,300000,100%,raw-l1d-tlb,"22,197,501,592",273.123762
0,0,300000,100%,raw-l1d-tlb-rd,0,273.123762
0,0,300000,100%,raw-l1d-tlb-refill,"565,964,059",273.123762
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,273.123762
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,273.123762
0,0,300000,100%,raw-l1d-tlb-wr,0,273.123762
0,0,300000,100%,raw-l1i-cache,"50,578,738,508",273.025988
0,0,300000,100%,raw-l1i-cache-lmiss,0,273.025988
0,0,300000,100%,raw-l1i-cache-refill,"70,068,145",273.025988
0,0,300000,100%,raw-l1i-tlb,"51,904,194,818",273.025988
0,0,300000,100%,raw-l1i-tlb-refill,"21,228,796",273.025988
0,0,300000,100%,raw-l2d-cache,"1,483,232,585",273.025988
0,0,300000,100%,raw-l2d-cache-allocate,"687,875,654",273.163531
0,0,300000,100%,raw-l2d-cache-inval,0,273.163531
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,273.163531
0,0,300000,100%,raw-l2d-cache-rd,"795,190,275",273.163531
0,0,300000,100%,raw-l2d-cache-refill,"384,372,762",273.163531
0,0,300000,100%,raw-l2d-cache-refill-rd,"383,809,426",273.163531
0,0,300000,100%,raw-l2d-cache-refill-wr,"576,675",273.119910
0,0,300000,100%,raw-l2d-cache-wb,"397,367,253",273.119910
0,0,300000,100%,raw-l2d-cache-wb-clean,0,273.119910
0,0,300000,100%,raw-l2d-cache-wb-victim,0,273.119910
0,0,300000,100%,raw-l2d-cache-wr,"689,519,528",273.119910
0,0,300000,100%,raw-l2d-tlb,"610,259,164",273.119910
0,0,300000,100%,raw-l2d-tlb-rd,0,273.377390
0,0,300000,100%,raw-l2d-tlb-refill,"2,121,042",273.377390
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,273.377390
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,273.377390
0,0,300000,100%,raw-l2d-tlb-wr,0,273.377390
0,0,300000,100%,raw-l2i-cache,0,273.377390
0,0,300000,100%,raw-l2i-cache-lmiss,0,272.978127
0,0,300000,100%,raw-l2i-cache-refill,0,272.978127
0,0,300000,100%,raw-l2i-tlb,0,272.978127
0,0,300000,100%,raw-l2i-tlb-refill,0,272.978127
0,0,300000,100%,raw-l3d-cache,"748,688,881",272.978127
0,0,300000,100%,raw-l3d-cache-allocate,"374,546,020",272.978127
0,0,300000,100%,raw-l3d-cache-inval,0,273.066438
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,273.066438
0,0,300000,100%,raw-l3d-cache-rd,"381,988,368",273.066438
0,0,300000,100%,raw-l3d-cache-refill,"87,070,225",273.066438
0,0,300000,100%,raw-l3d-cache-refill-rd,"87,070,225",273.066438
0,0,300000,100%,raw-l3d-cache-refill-wr,0,273.066438
0,0,300000,100%,raw-l3d-cache-wb,0,273.615406
0,0,300000,100%,raw-l3d-cache-wb-clean,0,273.615406
0,0,300000,100%,raw-l3d-cache-wb-victim,0,273.615406
0,0,300000,100%,raw-l3d-cache-wr,0,273.615406
0,0,300000,100%,raw-ld-retired,"21,179,330,840",273.615406
0,0,300000,100%,raw-ld-spec,"21,455,007,529",273.615406
0,0,300000,100%,raw-ldrex-spec,0,273.913474
0,0,300000,100%,raw-ldst-spec,"26,601,198,362",273.913474
0,0,300000,100%,raw-ll-cache,0,273.913474
0,0,300000,100%,raw-ll-cache-miss,0,273.913474
0,0,300000,100%,raw-ll-cache-miss-rd,"89,572,483",273.913474
0,0,300000,100%,raw-ll-cache-rd,"392,126,438",273.913474
0,0,300000,100%,raw-mem-access,"26,756,803,660",273.089608
0,0,300000,100%,raw-mem-access-rd,"21,646,338,030",273.089608
0,0,300000,100%,raw-mem-access-wr,"5,110,465,630",273.089608
0,0,300000,100%,raw-memory-error,0,273.089608
0,0,300000,100%,raw-op-retired,0,273.089608
0,0,300000,100%,raw-op-spec,0,273.089608
0,0,300000,100%,raw-pc-write-retired,"9,973,611,939",272.978567
0,0,300000,100%,raw-pc-write-spec,"13,179,887,646",272.978567
0,0,300000,100%,raw-rc-ld-spec,0,272.978567
0,0,300000,100%,raw-rc-st-spec,0,272.978567
0,0,300000,100%,raw-remote-access,0,272.978567
0,0,300000,100%,raw-remote-access-rd,0,272.978567
0,0,300000,100%,raw-sample-collision,0,273.027285
0,0,300000,100%,raw-sample-feed,0,273.027285
0,0,300000,100%,raw-sample-filtrate,0,273.027285
0,0,300000,100%,raw-sample-pop,0,273.027285
0,0,300000,100%,raw-st-retired,"5,087,456,371",273.027285
0,0,300000,100%,raw-st-spec,"5,133,342,702",273.027285
0,0,300000,100%,raw-stall,0,273.263323
0,0,300000,100%,raw-stall-backend,"27,561,936,088",273.263323
0,0,300000,100%,raw-stall-backend-mem,0,273.263323
0,0,300000,100%,raw-stall-frontend,"2,085,097,621",273.263323
0,0,300000,100%,raw-stall-slot,0,273.263323
0,0,300000,100%,raw-stall-slot-backend,0,273.263323
0,0,300000,100%,raw-stall-slot-frontend,0,273.604479
0,0,300000,100%,raw-strex-fail-spec,0,273.604479
0,0,300000,100%,raw-strex-pass-spec,0,273.604479
0,0,300000,100%,raw-strex-spec,0,273.604479
0,0,300000,100%,raw-sve-inst-retired,0,273.604479
0,0,300000,100%,raw-sve-inst-spec,0,273.604479
0,0,300000,100%,raw-sw-incr,0,273.110937
0,0,300000,100%,raw-ttbr-write-retired,6,273.110937
0,0,300000,100%,raw-unaligned-ld-spec,0,273.110937
0,0,300000,100%,raw-unaligned-ldst-retired,"4,578,771",273.110937
0,0,300000,100%,raw-unaligned-ldst-spec,0,273.110937
0,0,300000,100%,raw-unaligned-st-spec,0,273.110937
0,0,300000,100%,raw-vfp-spec,"5,894,064,010",272.968249
0,0,1248000,100%,raw-ase-spec,"140,252,579",68.409313
0,0,1248000,100%,raw-br-immed-retired,"11,187,492,674",68.409313
0,0,1248000,100%,raw-br-immed-spec,"11,187,492,674",68.409313
0,0,1248000,100%,raw-br-indirect-spec,"38,497,628",68.409313
0,0,1248000,100%,raw-br-mis-pred,"283,067,914",68.409313
0,0,1248000,100%,raw-br-mis-pred-retired,"283,329,604",68.409313
0,0,1248000,100%,raw-br-pred,"10,155,097,170",68.437745
0,0,1248000,100%,raw-br-retired,"12,850,189,035",68.437745
0,0,1248000,100%,raw-br-return-retired,"1,456,957,522",68.437745
0,0,1248000,100%,raw-br-return-spec,"1,456,957,522",68.437745
0,0,1248000,100%,raw-bus-access,"2,453,235,607",68.437745
0,0,1248000,100%,raw-bus-access-normal,0,68.437745
0,0,1248000,100%,raw-bus-access-not-shared,0,68.404926
0,0,1248000,100%,raw-bus-access-periph,0,68.404926
0,0,1248000,100%,raw-bus-access-rd,"1,218,185,139",68.404926
0,0,1248000,100%,raw-bus-access-shared,0,68.404926
0,0,1248000,100%,raw-bus-access-wr,"1,270,611,644",68.404926
0,0,1248000,100%,raw-bus-cycles,"85,264,012,875",68.404926
0,0,1248000,100%,raw-cid-write-retired,1,68.344802
0,0,1248000,100%,raw-cnt-cycles,0,68.344802
0,0,1248000,100%,raw-cpu-cycles,"85,199,321,573",68.344802
0,0,1248000,100%,raw-crypto-spec,0,68.344802
0,0,1248000,100%,raw-dmb-spec,0,68.344802
0,0,1248000,100%,raw-dp-spec,"35,003,112,475",68.461988
0,0,1248000,100%,raw-dsb-spec,0,68.461988
0,0,1248000,100%,raw-dtlb-walk,"2,109,401",68.461988
0,0,1248000,100%,raw-exc-dabort,0,68.461988
0,0,1248000,100%,raw-exc-fiq,11,68.461988
0,0,1248000,100%,raw-exc-hvc,0,68.461988
0,0,1248000,100%,raw-exc-irq,"27,520",68.356419
0,0,1248000,100%,raw-exc-pabort,0,68.356419
0,0,1248000,100%,raw-exc-return,"80,276",68.356419
0,0,1248000,100%,raw-exc-smc,0,68.356419
0,0,1248000,100%,raw-exc-svc,0,68.356419
0,0,1248000,100%,raw-exc-taken,"80,287",68.356419
0,0,1248000,100%,raw-exc-trap-dabort,0,68.478565
0,0,1248000,100%,raw-exc-trap-fiq,0,68.478565
0,0,1248000,100%,raw-exc-trap-irq,0,68.478565
0,0,1248000,100%,raw-exc-trap-other,0,68.478565
0,0,1248000,100%,raw-exc-trap-pabort,0,68.478565
0,0,1248000,100%,raw-exc-undef,0,68.478565
0,0,1248000,100%,raw-inst-retired,"79,306,196,939",68.467939
0,0,1248000,100%,raw-inst-spec,"80,252,353,483",68.467939
0,0,1248000,100%,raw-isb-spec,0,68.467939
0,0,1248000,100%,raw-itlb-walk,"57,658",68.467939
