setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"479,820",0.571165
0,0,300000,100%,raw-br-immed-retired,"54,414,008",0.571165
0,0,300000,100%,raw-br-immed-spec,"54,414,008",0.571165
0,0,300000,100%,raw-br-indirect-spec,"24,791",0.571165
0,0,300000,100%,raw-br-mis-pred,"795,380",0.571165
0,0,300000,100%,raw-br-mis-pred-retired,"797,462",0.571165
0,0,300000,100%,raw-br-pred,"53,808,450",0.571599
0,0,300000,100%,raw-br-retired,"54,945,797",0.571599
0,0,300000,100%,raw-br-return-retired,"508,095",0.571599
0,0,300000,100%,raw-br-return-spec,"508,095",0.571599
0,0,300000,100%,raw-bus-access,"2,254,693",0.571599
0,0,300000,100%,raw-bus-access-normal,0,0.571599
0,0,300000,100%,raw-bus-access-not-shared,0,0.571973
0,0,300000,100%,raw-bus-access-periph,0,0.571973
0,0,300000,100%,raw-bus-access-rd,"1,002,973",0.571973
0,0,300000,100%,raw-bus-access-shared,0,0.571973
0,0,300000,100%,raw-bus-access-wr,"1,231,140",0.571973
0,0,300000,100%,raw-bus-cycles,"169,473,471",0.571973
0,0,300000,100%,raw-cid-write-retired,1,0.574214
0,0,300000,100%,raw-cnt-cycles,0,0.574214
0,0,300000,100%,raw-cpu-cycles,"169,888,978",0.574214
0,0,300000,100%,raw-crypto-spec,0,0.574214
0,0,300000,100%,raw-dmb-spec,0,0.574214
0,0,300000,100%,raw-dp-spec,"108,519,845",0.574977
0,0,300000,100%,raw-dsb-spec,0,0.574977
0,0,300000,100%,raw-dtlb-walk,"2,430",0.574977
0,0,300000,100%,raw-exc-dabort,0,0.574977
0,0,300000,100%,raw-exc-fiq,0,0.574977
0,0,300000,100%,raw-exc-hvc,0,0.574977
0,0,300000,100%,raw-exc-irq,232,0.573069
0,0,300000,100%,raw-exc-pabort,0,0.573069
0,0,300000,100%,raw-exc-return,"1,651",0.573069
0,0,300000,100%,raw-exc-smc,0,0.573069
0,0,300000,100%,raw-exc-svc,0,0.573069
0,0,300000,100%,raw-exc-taken,"1,651",0.573069
