setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,126,13.291018
0,0,300000,100%,raw-br-immed-retired,"170,548,133",13.291018
0,0,300000,100%,raw-br-immed-spec,"170,548,133",13.291018
0,0,300000,100%,raw-br-indirect-spec,"893,122",13.291018
0,0,300000,100%,raw-br-mis-pred,"2,593,599",13.291018
0,0,300000,100%,raw-br-mis-pred-retired,"2,894,168",13.291018
0,0,300000,100%,raw-br-pred,"150,397,938",13.209373
0,0,300000,100%,raw-br-retired,"175,844,645",13.209373
0,0,300000,100%,raw-br-return-retired,"8,001,558",13.209373
0,0,300000,100%,raw-br-return-spec,"8,001,558",13.209373
0,0,300000,100%,raw-bus-access,"1,414,792,047",13.209373
0,0,300000,100%,raw-bus-access-normal,0,13.209373
0,0,300000,100%,raw-bus-access-not-shared,0,13.259835
0,0,300000,100%,raw-bus-access-periph,0,13.259835
0,0,300000,100%,raw-bus-access-rd,"474,566,679",13.259835
0,0,300000,100%,raw-bus-access-shared,0,13.259835
0,0,300000,100%,raw-bus-access-wr,"941,112,321",13.259835
0,0,300000,100%,raw-bus-cycles,"3,955,784,457",13.259835
0,0,300000,100%,raw-cid-write-retired,27,13.251567
0,0,300000,100%,raw-cnt-cycles,0,13.251567
0,0,300000,100%,raw-cpu-cycles,"3,955,184,731",13.251567
0,0,300000,100%,raw-crypto-spec,0,13.251567
0,0,300000,100%,raw-dmb-spec,0,13.251567
0,0,300000,100%,raw-dp-spec,"510,872,410",13.287187
0,0,300000,100%,raw-dsb-spec,0,13.287187
0,0,300000,100%,raw-dtlb-walk,"3,598,322",13.287187
0,0,300000,100%,raw-exc-dabort,0,13.287187
0,0,300000,100%,raw-exc-fiq,2,13.287187
0,0,300000,100%,raw-exc-hvc,0,13.287187
0,0,300000,100%,raw-exc-irq,"4,153",13.804564
0,0,300000,100%,raw-exc-pabort,0,13.804564
0,0,300000,100%,raw-exc-return,"266,771",13.804564
0,0,300000,100%,raw-exc-smc,0,13.804564
0,0,300000,100%,raw-exc-svc,0,13.804564
0,0,300000,100%,raw-exc-taken,"266,774",13.804564
0,0,300000,100%,raw-exc-trap-dabort,0,13.870227
0,0,300000,100%,raw-exc-trap-fiq,0,13.870227
0,0,300000,100%,raw-exc-trap-irq,0,13.870227
0,0,300000,100%,raw-exc-trap-other,0,13.870227
0,0,300000,100%,raw-exc-trap-pabort,0,13.870227
0,0,300000,100%,raw-exc-undef,0,13.870227
0,0,300000,100%,raw-inst-retired,"4,608,890,711",13.882950
0,0,300000,100%,raw-inst-spec,"4,625,120,179",13.882950
0,0,300000,100%,raw-isb-spec,0,13.882950
0,0,300000,100%,raw-itlb-walk,"18,889",13.882950
0,0,300000,100%,raw-l1d-cache,"2,127,982,236",13.882950
0,0,300000,100%,raw-l1d-cache-allocate,0,13.882950
0,0,300000,100%,raw-l1d-cache-inval,0,13.852037
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,13.852037
0,0,300000,100%,raw-l1d-cache-rd,"2,073,712,175",13.852037
0,0,300000,100%,raw-l1d-cache-refill,"11,293,106",13.852037
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,837,886",13.852037
0,0,300000,100%,raw-l1d-cache-refill-outer,"3,102,999",13.852037
0,0,300000,100%,raw-l1d-cache-refill-rd,"7,446,195",13.893723
0,0,300000,100%,raw-l1d-cache-refill-wr,"4,029,653",13.893723
0,0,300000,100%,raw-l1d-cache-wb,"121,056,109",13.893723
0,0,300000,100%,raw-l1d-cache-wb-clean,0,13.893723
0,0,300000,100%,raw-l1d-cache-wb-victim,0,13.893723
0,0,300000,100%,raw-l1d-cache-wr,"53,916,383",13.893723
0,0,300000,100%,raw-l1d-tlb,"2,126,111,734",13.827663
0,0,300000,100%,raw-l1d-tlb-rd,0,13.827663
0,0,300000,100%,raw-l1d-tlb-refill,"13,611,503",13.827663
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,13.827663
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,13.827663
0,0,300000,100%,raw-l1d-tlb-wr,0,13.827663
0,0,300000,100%,raw-l1i-cache,"2,375,485,637",13.242996
0,0,300000,100%,raw-l1i-cache-lmiss,0,13.242996
