setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,126,14.763835
0,0,300000,100%,raw-br-immed-retired,"107,477,916",14.763835
0,0,300000,100%,raw-br-immed-spec,"107,477,916",14.763835
0,0,300000,100%,raw-br-indirect-spec,"648,139",14.763835
0,0,300000,100%,raw-br-mis-pred,"1,710,827",14.763835
0,0,300000,100%,raw-br-mis-pred-retired,"1,866,664",14.763835
0,0,300000,100%,raw-br-pred,"104,150,360",14.783351
0,0,300000,100%,raw-br-retired,"113,997,961",14.783351
0,0,300000,100%,raw-br-return-retired,"4,462,841",14.783351
0,0,300000,100%,raw-br-return-spec,"4,462,841",14.783351
0,0,300000,100%,raw-bus-access,"963,781,161",14.783351
0,0,300000,100%,raw-bus-access-normal,0,14.783351
0,0,300000,100%,raw-bus-access-not-shared,0,15.355163
0,0,300000,100%,raw-bus-access-periph,0,15.355163
0,0,300000,100%,raw-bus-access-rd,"464,397,937",15.355163
0,0,300000,100%,raw-bus-access-shared,0,15.355163
0,0,300000,100%,raw-bus-access-wr,"497,481,116",15.355163
0,0,300000,100%,raw-bus-cycles,"4,582,905,799",15.355163
0,0,300000,100%,raw-cid-write-retired,31,14.772546
0,0,300000,100%,raw-cnt-cycles,0,14.772546
0,0,300000,100%,raw-cpu-cycles,"4,408,343,856",14.772546
0,0,300000,100%,raw-crypto-spec,0,14.772546
0,0,300000,100%,raw-dmb-spec,0,14.772546
0,0,300000,100%,raw-dp-spec,"2,045,023,020",14.778033
0,0,300000,100%,raw-dsb-spec,0,14.778033
0,0,300000,100%,raw-dtlb-walk,"1,876,126",14.778033
0,0,300000,100%,raw-exc-dabort,0,14.778033
0,0,300000,100%,raw-exc-fiq,3,14.778033
0,0,300000,100%,raw-exc-hvc,0,14.778033
0,0,300000,100%,raw-exc-irq,"4,626",15.379208
0,0,300000,100%,raw-exc-pabort,0,15.379208
0,0,300000,100%,raw-exc-return,"136,174",15.379208
0,0,300000,100%,raw-exc-smc,0,15.379208
0,0,300000,100%,raw-exc-svc,0,15.379208
0,0,300000,100%,raw-exc-taken,"136,176",15.379208
0,0,300000,100%,raw-exc-trap-dabort,0,15.379112
0,0,300000,100%,raw-exc-trap-fiq,0,15.379112
0,0,300000,100%,raw-exc-trap-irq,0,15.379112
0,0,300000,100%,raw-exc-trap-other,0,15.379112
0,0,300000,100%,raw-exc-trap-pabort,0,15.379112
0,0,300000,100%,raw-exc-undef,0,15.379112
0,0,300000,100%,raw-inst-retired,"4,228,274,212",15.365562
0,0,300000,100%,raw-inst-spec,"4,237,336,939",15.365562
0,0,300000,100%,raw-isb-spec,0,15.365562
0,0,300000,100%,raw-itlb-walk,"14,967",15.365562
0,0,300000,100%,raw-l1d-cache,"2,017,339,577",15.365562
0,0,300000,100%,raw-l1d-cache-allocate,0,15.365562
0,0,300000,100%,raw-l1d-cache-inval,0,15.352778
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,15.352778
0,0,300000,100%,raw-l1d-cache-rd,"1,988,381,899",15.352778
0,0,300000,100%,raw-l1d-cache-refill,"4,959,461",15.352778
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,398,408",15.352778
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,076,879",15.352778
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,219,408",15.357541
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,716,651",15.357541
0,0,300000,100%,raw-l1d-cache-wb,"114,467,631",15.357541
0,0,300000,100%,raw-l1d-cache-wb-clean,0,15.357541
0,0,300000,100%,raw-l1d-cache-wb-victim,0,15.357541
0,0,300000,100%,raw-l1d-cache-wr,"28,456,435",15.357541
0,0,300000,100%,raw-l1d-tlb,"1,935,465,519",14.769407
0,0,300000,100%,raw-l1d-tlb-rd,0,14.769407
0,0,300000,100%,raw-l1d-tlb-refill,"7,290,658",14.769407
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,14.769407
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,14.769407
0,0,300000,100%,raw-l1d-tlb-wr,0,14.769407
0,0,300000,100%,raw-l1i-cache,"2,129,122,856",14.754186
0,0,300000,100%,raw-l1i-cache-lmiss,0,14.754186
0,0,300000,100%,raw-l1i-cache-refill,"2,416,373",14.754186
0,0,300000,100%,raw-l1i-tlb,"2,213,598,066",14.754186
0,0,300000,100%,raw-l1i-tlb-refill,"242,646",14.754186
0,0,300000,100%,raw-l2d-cache,"248,659,046",14.754186
0,0,300000,100%,raw-l2d-cache-allocate,"129,143,969",14.782113
0,0,300000,100%,raw-l2d-cache-inval,0,14.782113
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,14.782113
0,0,300000,100%,raw-l2d-cache-rd,"118,835,718",14.782113
0,0,300000,100%,raw-l2d-cache-refill,"116,364,542",14.782113
0,0,300000,100%,raw-l2d-cache-refill-rd,"115,712,592",14.782113
0,0,300000,100%,raw-l2d-cache-refill-wr,"655,438",15.414645
0,0,300000,100%,raw-l2d-cache-wb,"123,202,633",15.414645
0,0,300000,100%,raw-l2d-cache-wb-clean,0,15.414645
0,0,300000,100%,raw-l2d-cache-wb-victim,0,15.414645
0,0,300000,100%,raw-l2d-cache-wr,"129,842,531",15.414645
0,0,300000,100%,raw-l2d-tlb,"9,847,521",15.414645
0,0,300000,100%,raw-l2d-tlb-rd,0,14.778964
0,0,300000,100%,raw-l2d-tlb-refill,"1,892,865",14.778964
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,14.778964
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,14.778964
0,0,300000,100%,raw-l2d-tlb-wr,0,14.778964
0,0,300000,100%,raw-l2i-cache,0,14.778964
0,0,300000,100%,raw-l2i-cache-lmiss,0,14.772466
0,0,300000,100%,raw-l2i-cache-refill,0,14.772466
0,0,300000,100%,raw-l2i-tlb,0,14.772466
0,0,300000,100%,raw-l2i-tlb-refill,0,14.772466
0,0,300000,100%,raw-l3d-cache,"239,732,671",14.772466
0,0,300000,100%,raw-l3d-cache-allocate,"122,863,384",14.772466
0,0,300000,100%,raw-l3d-cache-inval,0,15.358885
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,15.358885
0,0,300000,100%,raw-l3d-cache-rd,"116,227,275",15.358885
0,0,300000,100%,raw-l3d-cache-refill,"5,065,161",15.358885
0,0,300000,100%,raw-l3d-cache-refill-rd,"5,065,161",15.358885
0,0,300000,100%,raw-l3d-cache-refill-wr,0,15.358885
0,0,300000,100%,raw-l3d-cache-wb,0,15.361417
0,0,300000,100%,raw-l3d-cache-wb-clean,0,15.361417
0,0,300000,100%,raw-l3d-cache-wb-victim,0,15.361417
0,0,300000,100%,raw-l3d-cache-wr,0,15.361417
0,0,300000,100%,raw-ld-retired,"1,971,661,196",15.361417
0,0,300000,100%,raw-ld-spec,"1,972,908,442",15.361417
0,0,300000,100%,raw-ldrex-spec,0,15.380042
0,0,300000,100%,raw-ldst-spec,"2,040,144,615",15.380042
0,0,300000,100%,raw-ll-cache,0,15.380042
0,0,300000,100%,raw-ll-cache-miss,0,15.380042
0,0,300000,100%,raw-ll-cache-miss-rd,"5,093,863",15.380042
0,0,300000,100%,raw-ll-cache-rd,"116,686,002",15.380042
0,0,300000,100%,raw-mem-access,"2,020,127,593",14.770622
0,0,300000,100%,raw-mem-access-rd,"1,906,841,275",14.770622
0,0,300000,100%,raw-mem-access-wr,"113,286,318",14.770622
0,0,300000,100%,raw-memory-error,0,14.770622
0,0,300000,100%,raw-op-retired,0,14.770622
0,0,300000,100%,raw-op-spec,0,14.770622
0,0,300000,100%,raw-pc-write-retired,"101,874,808",15.440470
0,0,300000,100%,raw-pc-write-spec,"140,856,063",15.440470
0,0,300000,100%,raw-rc-ld-spec,0,15.440470
0,0,300000,100%,raw-rc-st-spec,0,15.440470
0,0,300000,100%,raw-remote-access,0,15.440470
0,0,300000,100%,raw-remote-access-rd,0,15.440470
0,0,300000,100%,raw-sample-collision,0,14.765034
0,0,300000,100%,raw-sample-feed,0,14.765034
0,0,300000,100%,raw-sample-filtrate,0,14.765034
0,0,300000,100%,raw-sample-pop,0,14.765034
0,0,300000,100%,raw-st-retired,"45,538,032",14.765034
0,0,300000,100%,raw-st-spec,"64,193,336",14.765034
0,0,300000,100%,raw-stall,0,14.772528
0,0,300000,100%,raw-stall-backend,"2,074,759,515",14.772528
0,0,300000,100%,raw-stall-backend-mem,0,14.772528
0,0,300000,100%,raw-stall-frontend,"73,658,005",14.772528
0,0,300000,100%,raw-stall-slot,0,14.772528
0,0,300000,100%,raw-stall-slot-backend,0,14.772528
0,0,300000,100%,raw-stall-slot-frontend,0,15.371915
0,0,300000,100%,raw-strex-fail-spec,0,15.371915
0,0,300000,100%,raw-strex-pass-spec,0,15.371915
0,0,300000,100%,raw-strex-spec,0,15.371915
0,0,300000,100%,raw-sve-inst-retired,0,15.371915
0,0,300000,100%,raw-sve-inst-spec,0,15.371915
0,0,300000,100%,raw-sw-incr,0,15.419509
0,0,300000,100%,raw-ttbr-write-retired,93,15.419509
0,0,300000,100%,raw-unaligned-ld-spec,0,15.419509
0,0,300000,100%,raw-unaligned-ldst-retired,"16,934,973",15.419509
0,0,300000,100%,raw-unaligned-ldst-spec,0,15.419509
0,0,300000,100%,raw-unaligned-st-spec,0,15.419509
0,0,300000,100%,raw-vfp-spec,"3,709",15.343202
0,0,1036800,100%,raw-ase-spec,126,4.571444
0,0,1036800,100%,raw-br-immed-retired,"150,684,899",4.571444
0,0,1036800,100%,raw-br-immed-spec,"150,684,899",4.571444
0,0,1036800,100%,raw-br-indirect-spec,"945,313",4.571444
0,0,1036800,100%,raw-br-mis-pred,"1,092,389",4.571444
0,0,1036800,100%,raw-br-mis-pred-retired,"1,246,969",4.571444
0,0,1036800,100%,raw-br-pred,"147,040,289",4.571175
0,0,1036800,100%,raw-br-retired,"156,537,105",4.571175
0,0,1036800,100%,raw-br-return-retired,"5,013,187",4.571175
0,0,1036800,100%,raw-br-return-spec,"5,013,187",4.571175
0,0,1036800,100%,raw-bus-access,"934,776,023",4.571175
0,0,1036800,100%,raw-bus-access-normal,0,4.571175
0,0,1036800,100%,raw-bus-access-not-shared,0,4.573679
0,0,1036800,100%,raw-bus-access-periph,0,4.573679
0,0,1036800,100%,raw-bus-access-rd,"452,420,885",4.573679
0,0,1036800,100%,raw-bus-access-shared,0,4.573679
0,0,1036800,100%,raw-bus-access-wr,"483,956,392",4.573679
0,0,1036800,100%,raw-bus-cycles,"4,729,173,315",4.573679
0,0,1036800,100%,raw-cid-write-retired,13,4.576011
0,0,1036800,100%,raw-cnt-cycles,0,4.576011
0,0,1036800,100%,raw-cpu-cycles,"4,732,004,435",4.576011
0,0,1036800,100%,raw-crypto-spec,0,4.576011
0,0,1036800,100%,raw-dmb-spec,0,4.576011
0,0,1036800,100%,raw-dp-spec,"2,096,936,008",4.575600
0,0,1036800,100%,raw-dsb-spec,0,4.575600
0,0,1036800,100%,raw-dtlb-walk,"1,852,609",4.575600
0,0,1036800,100%,raw-exc-dabort,0,4.575600
0,0,1036800,100%,raw-exc-fiq,1,4.575600
0,0,1036800,100%,raw-exc-hvc,0,4.575600
0,0,1036800,100%,raw-exc-irq,"1,377",4.574713
0,0,1036800,100%,raw-exc-pabort,0,4.574713
0,0,1036800,100%,raw-exc-return,"132,857",4.574713
0,0,1036800,100%,raw-exc-smc,0,4.574713
0,0,1036800,100%,raw-exc-svc,0,4.574713
0,0,1036800,100%,raw-exc-taken,"132,858",4.574713
0,0,1036800,100%,raw-exc-trap-dabort,0,4.574949
0,0,1036800,100%,raw-exc-trap-fiq,0,4.574949
0,0,1036800,100%,raw-exc-trap-irq,0,4.574949
0,0,1036800,100%,raw-exc-trap-other,0,4.574949
0,0,1036800,100%,raw-exc-trap-pabort,0,4.574949
0,0,1036800,100%,raw-exc-undef,0,4.574949
0,0,1036800,100%,raw-inst-retired,"4,325,105,621",4.579820
0,0,1036800,100%,raw-inst-spec,"4,332,615,761",4.579820
0,0,1036800,100%,raw-isb-spec,0,4.579820
0,0,1036800,100%,raw-itlb-walk,"5,032",4.579820
0,0,1036800,100%,raw-l1d-cache,"2,072,462,898",4.579820
0,0,1036800,100%,raw-l1d-cache-allocate,0,4.579820
0,0,1036800,100%,raw-l1d-cache-inval,0,4.577638
0,0,1036800,100%,raw-l1d-cache-lmiss-rd,0,4.577638
0,0,1036800,100%,raw-l1d-cache-rd,"2,044,143,704",4.577638
0,0,1036800,100%,raw-l1d-cache-refill,"3,723,793",4.577638
0,0,1036800,100%,raw-l1d-cache-refill-inner,"2,532,472",4.577638
0,0,1036800,100%,raw-l1d-cache-refill-outer,"1,651,898",4.577638
0,0,1036800,100%,raw-l1d-cache-refill-rd,"2,143,311",4.578992
0,0,1036800,100%,raw-l1d-cache-refill-wr,"1,605,806",4.578992
0,0,1036800,100%,raw-l1d-cache-wb,"113,109,086",4.578992
0,0,1036800,100%,raw-l1d-cache-wb-clean,0,4.578992
0,0,1036800,100%,raw-l1d-cache-wb-victim,0,4.578992
0,0,1036800,100%,raw-l1d-cache-wr,"26,494,454",4.578992
0,0,1036800,100%,raw-l1d-tlb,"2,070,460,025",4.575823
0,0,1036800,100%,raw-l1d-tlb-rd,0,4.575823
0,0,1036800,100%,raw-l1d-tlb-refill,"6,572,140",4.575823
0,0,1036800,100%,raw-l1d-tlb-refill-rd,0,4.575823
0,0,1036800,100%,raw-l1d-tlb-refill-wr,0,4.575823
0,0,1036800,100%,raw-l1d-tlb-wr,0,4.575823
0,0,1036800,100%,raw-l1i-cache,"2,256,787,195",4.567985
0,0,1036800,100%,raw-l1i-cache-lmiss,0,4.567985
0,0,1036800,100%,raw-l1i-cache-refill,"778,373",4.567985
0,0,1036800,100%,raw-l1i-tlb,"2,317,902,594",4.567985
