setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,124,6.757375
0,0,300000,100%,raw-br-immed-retired,"124,249,489",6.757375
0,0,300000,100%,raw-br-immed-spec,"124,249,489",6.757375
0,0,300000,100%,raw-br-indirect-spec,"748,976",6.757375
0,0,300000,100%,raw-br-mis-pred,"1,226,640",6.757375
0,0,300000,100%,raw-br-mis-pred-retired,"1,379,584",6.757375
0,0,300000,100%,raw-br-pred,"122,495,518",6.837012
0,0,300000,100%,raw-br-retired,"131,881,951",6.837012
0,0,300000,100%,raw-br-return-retired,"4,603,675",6.837012
0,0,300000,100%,raw-br-return-spec,"4,603,675",6.837012
0,0,300000,100%,raw-bus-access,"940,005,882",6.837012
0,0,300000,100%,raw-bus-access-normal,0,6.837012
0,0,300000,100%,raw-bus-access-not-shared,0,6.777474
0,0,300000,100%,raw-bus-access-periph,0,6.777474
0,0,300000,100%,raw-bus-access-rd,"452,457,723",6.777474
0,0,300000,100%,raw-bus-access-shared,0,6.777474
0,0,300000,100%,raw-bus-access-wr,"484,263,574",6.777474
0,0,300000,100%,raw-bus-cycles,"2,022,546,201",6.777474
0,0,300000,100%,raw-cid-write-retired,14,6.180756
0,0,300000,100%,raw-cnt-cycles,0,6.180756
0,0,300000,100%,raw-cpu-cycles,"1,843,768,661",6.180756
0,0,300000,100%,raw-crypto-spec,0,6.180756
0,0,300000,100%,raw-dmb-spec,0,6.180756
0,0,300000,100%,raw-dp-spec,"757,218,670",6.797599
0,0,300000,100%,raw-dsb-spec,0,6.797599
0,0,300000,100%,raw-dtlb-walk,"1,854,057",6.797599
0,0,300000,100%,raw-exc-dabort,0,6.797599
0,0,300000,100%,raw-exc-fiq,2,6.797599
0,0,300000,100%,raw-exc-hvc,0,6.797599
0,0,300000,100%,raw-exc-irq,"1,861",6.185137
0,0,300000,100%,raw-exc-pabort,0,6.185137
0,0,300000,100%,raw-exc-return,"133,340",6.185137
0,0,300000,100%,raw-exc-smc,0,6.185137
0,0,300000,100%,raw-exc-svc,0,6.185137
0,0,300000,100%,raw-exc-taken,"133,341",6.185137
0,0,300000,100%,raw-exc-trap-dabort,0,6.810902
0,0,300000,100%,raw-exc-trap-fiq,0,6.810902
0,0,300000,100%,raw-exc-trap-irq,0,6.810902
0,0,300000,100%,raw-exc-trap-other,0,6.810902
0,0,300000,100%,raw-exc-trap-pabort,0,6.810902
0,0,300000,100%,raw-exc-undef,0,6.810902
0,0,300000,100%,raw-inst-retired,"1,581,372,297",6.785085
0,0,300000,100%,raw-inst-spec,"1,589,142,658",6.785085
0,0,300000,100%,raw-isb-spec,0,6.785085
0,0,300000,100%,raw-itlb-walk,"6,519",6.785085
0,0,300000,100%,raw-l1d-cache,"698,884,693",6.785085
0,0,300000,100%,raw-l1d-cache-allocate,0,6.785085
0,0,300000,100%,raw-l1d-cache-inval,0,6.203313
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,6.203313
0,0,300000,100%,raw-l1d-cache-rd,"591,593,678",6.203313
0,0,300000,100%,raw-l1d-cache-refill,"3,905,983",6.203313
0,0,300000,100%,raw-l1d-cache-refill-inner,"2,720,334",6.203313
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,654,112",6.203313
0,0,300000,100%,raw-l1d-cache-refill-rd,"2,271,665",6.844084
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,630,301",6.844084
0,0,300000,100%,raw-l1d-cache-wb,"113,327,103",6.844084
0,0,300000,100%,raw-l1d-cache-wb-clean,0,6.844084
0,0,300000,100%,raw-l1d-cache-wb-victim,0,6.844084
0,0,300000,100%,raw-l1d-cache-wr,"26,962,111",6.844084
0,0,300000,100%,raw-l1d-tlb,"619,306,129",6.206576
0,0,300000,100%,raw-l1d-tlb-rd,0,6.206576
0,0,300000,100%,raw-l1d-tlb-refill,"6,757,172",6.206576
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.206576
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.206576
0,0,300000,100%,raw-l1d-tlb-wr,0,6.206576
0,0,300000,100%,raw-l1i-cache,"881,149,109",6.796431
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.796431
0,0,300000,100%,raw-l1i-cache-refill,"1,220,031",6.796431
0,0,300000,100%,raw-l1i-tlb,"922,412,466",6.796431
0,0,300000,100%,raw-l1i-tlb-refill,"237,125",6.796431
0,0,300000,100%,raw-l2d-cache,"244,639,117",6.796431
0,0,300000,100%,raw-l2d-cache-allocate,"128,166,255",6.794382
0,0,300000,100%,raw-l2d-cache-inval,0,6.794382
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,6.794382
0,0,300000,100%,raw-l2d-cache-rd,"115,912,798",6.794382
0,0,300000,100%,raw-l2d-cache-refill,"113,263,950",6.794382
0,0,300000,100%,raw-l2d-cache-refill-rd,"112,608,153",6.794382
0,0,300000,100%,raw-l2d-cache-refill-wr,"655,173",6.209472
0,0,300000,100%,raw-l2d-cache-wb,"120,245,750",6.209472
0,0,300000,100%,raw-l2d-cache-wb-clean,0,6.209472
0,0,300000,100%,raw-l2d-cache-wb-victim,0,6.209472
0,0,300000,100%,raw-l2d-cache-wr,"128,953,590",6.209472
0,0,300000,100%,raw-l2d-tlb,"8,931,337",6.209472
0,0,300000,100%,raw-l2d-tlb-rd,0,6.219075
0,0,300000,100%,raw-l2d-tlb-refill,"1,861,038",6.219075
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,6.219075
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,6.219075
0,0,300000,100%,raw-l2d-tlb-wr,0,6.219075
0,0,300000,100%,raw-l2i-cache,0,6.219075
0,0,300000,100%,raw-l2i-cache-lmiss,0,6.858956
0,0,300000,100%,raw-l2i-cache-refill,0,6.858956
0,0,300000,100%,raw-l2i-tlb,0,6.858956
0,0,300000,100%,raw-l2i-tlb-refill,0,6.858956
0,0,300000,100%,raw-l3d-cache,"234,192,497",6.858956
0,0,300000,100%,raw-l3d-cache-allocate,"120,171,491",6.858956
0,0,300000,100%,raw-l3d-cache-inval,0,6.201590
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,6.201590
0,0,300000,100%,raw-l3d-cache-rd,"113,250,112",6.201590
0,0,300000,100%,raw-l3d-cache-refill,"4,396,578",6.201590
0,0,300000,100%,raw-l3d-cache-refill-rd,"4,396,578",6.201590
0,0,300000,100%,raw-l3d-cache-refill-wr,0,6.201590
0,0,300000,100%,raw-l3d-cache-wb,0,6.782439
0,0,300000,100%,raw-l3d-cache-wb-clean,0,6.782439
0,0,300000,100%,raw-l3d-cache-wb-victim,0,6.782439
0,0,300000,100%,raw-l3d-cache-wr,0,6.782439
0,0,300000,100%,raw-ld-retired,"656,952,922",6.782439
0,0,300000,100%,raw-ld-spec,"657,816,501",6.782439
0,0,300000,100%,raw-ldrex-spec,0,6.765306
0,0,300000,100%,raw-ldst-spec,"719,330,419",6.765306
0,0,300000,100%,raw-ll-cache,0,6.765306
0,0,300000,100%,raw-ll-cache-miss,0,6.765306
