setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,142,10.087353
0,0,300000,100%,raw-br-immed-retired,"261,018,409",10.087353
0,0,300000,100%,raw-br-immed-spec,"261,018,409",10.087353
0,0,300000,100%,raw-br-indirect-spec,"834,076",10.087353
0,0,300000,100%,raw-br-mis-pred,"2,579,745",10.087353
0,0,300000,100%,raw-br-mis-pred-retired,"2,925,968",10.087353
0,0,300000,100%,raw-br-pred,"271,618,259",10.658073
0,0,300000,100%,raw-br-retired,"289,959,029",10.658073
0,0,300000,100%,raw-br-return-retired,"8,102,166",10.658073
0,0,300000,100%,raw-br-return-spec,"8,102,166",10.658073
0,0,300000,100%,raw-bus-access,"1,407,633,992",10.658073
0,0,300000,100%,raw-bus-access-normal,0,10.658073
0,0,300000,100%,raw-bus-access-not-shared,0,10.068756
0,0,300000,100%,raw-bus-access-periph,0,10.068756
0,0,300000,100%,raw-bus-access-rd,"470,322,676",10.068756
0,0,300000,100%,raw-bus-access-shared,0,10.068756
0,0,300000,100%,raw-bus-access-wr,"936,595,029",10.068756
0,0,300000,100%,raw-bus-cycles,"3,008,897,277",10.068756
0,0,300000,100%,raw-cid-write-retired,21,10.081033
0,0,300000,100%,raw-cnt-cycles,0,10.081033
0,0,300000,100%,raw-cpu-cycles,"3,012,857,836",10.081033
0,0,300000,100%,raw-crypto-spec,0,10.081033
0,0,300000,100%,raw-dmb-spec,0,10.081033
0,0,300000,100%,raw-dp-spec,"599,787,854",10.714526
0,0,300000,100%,raw-dsb-spec,0,10.714526
0,0,300000,100%,raw-dtlb-walk,"3,585,212",10.714526
0,0,300000,100%,raw-exc-dabort,0,10.714526
0,0,300000,100%,raw-exc-fiq,1,10.714526
0,0,300000,100%,raw-exc-hvc,0,10.714526
0,0,300000,100%,raw-exc-irq,"4,050",10.090858
0,0,300000,100%,raw-exc-pabort,0,10.090858
0,0,300000,100%,raw-exc-return,"318,740",10.090858
0,0,300000,100%,raw-exc-smc,0,10.090858
0,0,300000,100%,raw-exc-svc,0,10.090858
0,0,300000,100%,raw-exc-taken,"318,741",10.090858
0,0,300000,100%,raw-exc-trap-dabort,0,10.080266
0,0,300000,100%,raw-exc-trap-fiq,0,10.080266
0,0,300000,100%,raw-exc-trap-irq,0,10.080266
0,0,300000,100%,raw-exc-trap-other,0,10.080266
0,0,300000,100%,raw-exc-trap-pabort,0,10.080266
0,0,300000,100%,raw-exc-undef,0,10.080266
0,0,300000,100%,raw-inst-retired,"1,992,257,509",10.068427
0,0,300000,100%,raw-inst-spec,"2,008,441,645",10.068427
0,0,300000,100%,raw-isb-spec,0,10.068427
0,0,300000,100%,raw-itlb-walk,"17,834",10.068427
0,0,300000,100%,raw-l1d-cache,"1,168,124,269",10.068427
0,0,300000,100%,raw-l1d-cache-allocate,0,10.068427
0,0,300000,100%,raw-l1d-cache-inval,0,10.108456
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,10.108456
0,0,300000,100%,raw-l1d-cache-rd,"1,118,880,121",10.108456
0,0,300000,100%,raw-l1d-cache-refill,"10,736,267",10.108456
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,489,522",10.108456
0,0,300000,100%,raw-l1d-cache-refill-outer,"3,265,714",10.108456
0,0,300000,100%,raw-l1d-cache-refill-rd,"7,051,664",14.609367
0,0,300000,100%,raw-l1d-cache-refill-wr,"3,940,334",14.609367
0,0,300000,100%,raw-l1d-cache-wb,"121,040,774",14.609367
0,0,300000,100%,raw-l1d-cache-wb-clean,0,14.609367
0,0,300000,100%,raw-l1d-cache-wb-victim,0,14.609367
0,0,300000,100%,raw-l1d-cache-wr,"58,174,912",14.609367
0,0,300000,100%,raw-l1d-tlb,"1,251,147,396",10.663838
0,0,300000,100%,raw-l1d-tlb-rd,0,10.663838
0,0,300000,100%,raw-l1d-tlb-refill,"12,117,577",10.663838
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,10.663838
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,10.663838
0,0,300000,100%,raw-l1d-tlb-wr,0,10.663838
0,0,300000,100%,raw-l1i-cache,"1,210,389,605",10.628657
0,0,300000,100%,raw-l1i-cache-lmiss,0,10.628657
0,0,300000,100%,raw-l1i-cache-refill,"1,926,950",10.628657
0,0,300000,100%,raw-l1i-tlb,"1,282,200,185",10.628657
0,0,300000,100%,raw-l1i-tlb-refill,"616,872",10.628657
0,0,300000,100%,raw-l2d-cache,"375,800,225",10.628657
0,0,300000,100%,raw-l2d-cache-allocate,"151,447,705",10.062001
0,0,300000,100%,raw-l2d-cache-inval,0,10.062001
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,10.062001
0,0,300000,100%,raw-l2d-cache-rd,"124,282,079",10.062001
0,0,300000,100%,raw-l2d-cache-refill,"117,870,301",10.062001
0,0,300000,100%,raw-l2d-cache-refill-rd,"116,571,800",10.062001
0,0,300000,100%,raw-l2d-cache-refill-wr,"1,307,934",10.080105
0,0,300000,100%,raw-l2d-cache-wb,"133,049,447",10.080105
0,0,300000,100%,raw-l2d-cache-wb-clean,0,10.080105
0,0,300000,100%,raw-l2d-cache-wb-victim,0,10.080105
0,0,300000,100%,raw-l2d-cache-wr,"251,599,917",10.080105
0,0,300000,100%,raw-l2d-tlb,"15,415,204",10.080105
0,0,300000,100%,raw-l2d-tlb-rd,0,10.054538
0,0,300000,100%,raw-l2d-tlb-refill,"3,604,924",10.054538
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,10.054538
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,10.054538
0,0,300000,100%,raw-l2d-tlb-wr,0,10.054538
0,0,300000,100%,raw-l2i-cache,0,10.054538
0,0,300000,100%,raw-l2i-cache-lmiss,0,10.628974
0,0,300000,100%,raw-l2i-cache-refill,0,10.628974
0,0,300000,100%,raw-l2i-tlb,0,10.628974
0,0,300000,100%,raw-l2i-tlb-refill,0,10.628974
0,0,300000,100%,raw-l3d-cache,"349,718,669",10.628974
0,0,300000,100%,raw-l3d-cache-allocate,"231,595,109",10.628974
0,0,300000,100%,raw-l3d-cache-inval,0,10.698342
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,10.698342
0,0,300000,100%,raw-l3d-cache-rd,"117,842,128",10.698342
0,0,300000,100%,raw-l3d-cache-refill,"8,308,560",10.698342
0,0,300000,100%,raw-l3d-cache-refill-rd,"8,308,560",10.698342
0,0,300000,100%,raw-l3d-cache-refill-wr,0,10.698342
0,0,300000,100%,raw-l3d-cache-wb,0,10.038484
0,0,300000,100%,raw-l3d-cache-wb-clean,0,10.038484
0,0,300000,100%,raw-l3d-cache-wb-victim,0,10.038484
0,0,300000,100%,raw-l3d-cache-wr,0,10.038484
0,0,300000,100%,raw-ld-retired,"650,163,256",10.038484
0,0,300000,100%,raw-ld-spec,"650,595,600",10.038484
0,0,300000,100%,raw-ldrex-spec,0,10.034040
0,0,300000,100%,raw-ldst-spec,"1,198,801,387",10.034040
0,0,300000,100%,raw-ll-cache,0,10.034040
0,0,300000,100%,raw-ll-cache-miss,0,10.034040
0,0,300000,100%,raw-ll-cache-miss-rd,"7,721,425",10.034040
0,0,300000,100%,raw-ll-cache-rd,"117,945,014",10.034040
0,0,300000,100%,raw-mem-access,"1,826,680,490",10.691055
0,0,300000,100%,raw-mem-access-rd,"1,201,532,274",10.691055
0,0,300000,100%,raw-mem-access-wr,"625,148,216",10.691055
0,0,300000,100%,raw-memory-error,0,10.691055
0,0,300000,100%,raw-op-retired,0,10.691055
0,0,300000,100%,raw-op-spec,0,10.691055
0,0,300000,100%,raw-pc-write-retired,"229,693,798",10.734523
0,0,300000,100%,raw-pc-write-spec,"299,654,735",10.734523
0,0,300000,100%,raw-rc-ld-spec,0,10.734523
0,0,300000,100%,raw-rc-st-spec,0,10.734523
0,0,300000,100%,raw-remote-access,0,10.734523
0,0,300000,100%,raw-remote-access-rd,0,10.734523
0,0,300000,100%,raw-sample-collision,0,10.685210
0,0,300000,100%,raw-sample-feed,0,10.685210
0,0,300000,100%,raw-sample-filtrate,0,10.685210
0,0,300000,100%,raw-sample-pop,0,10.685210
0,0,300000,100%,raw-st-retired,"523,254,651",10.685210
0,0,300000,100%,raw-st-spec,"551,252,682",10.685210
0,0,300000,100%,raw-stall,0,10.763428
0,0,300000,100%,raw-stall-backend,"1,271,186,748",10.763428
0,0,300000,100%,raw-stall-backend-mem,0,10.763428
0,0,300000,100%,raw-stall-frontend,"80,700,570",10.763428
0,0,300000,100%,raw-stall-slot,0,10.763428
0,0,300000,100%,raw-stall-slot-backend,0,10.763428
0,0,300000,100%,raw-stall-slot-frontend,0,10.067044
0,0,300000,100%,raw-strex-fail-spec,0,10.067044
0,0,300000,100%,raw-strex-pass-spec,0,10.067044
0,0,300000,100%,raw-strex-spec,0,10.067044
0,0,300000,100%,raw-sve-inst-retired,0,10.067044
0,0,300000,100%,raw-sve-inst-spec,0,10.067044
0,0,300000,100%,raw-sw-incr,0,10.661597
