setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,157,4.723284
0,0,300000,100%,raw-br-immed-retired,"199,184,373",4.723284
0,0,300000,100%,raw-br-immed-spec,"199,184,373",4.723284
0,0,300000,100%,raw-br-indirect-spec,"492,078",4.723284
0,0,300000,100%,raw-br-mis-pred,"1,222,715",4.723284
0,0,300000,100%,raw-br-mis-pred-retired,"1,422,767",4.723284
0,0,300000,100%,raw-br-pred,"216,769,506",5.316725
0,0,300000,100%,raw-br-retired,"226,198,245",5.316725
0,0,300000,100%,raw-br-return-retired,"4,341,468",5.316725
0,0,300000,100%,raw-br-return-spec,"4,341,468",5.316725
0,0,300000,100%,raw-bus-access,"500,828,393",5.316725
0,0,300000,100%,raw-bus-access-normal,0,5.316725
0,0,300000,100%,raw-bus-access-not-shared,0,4.723975
0,0,300000,100%,raw-bus-access-periph,0,4.723975
0,0,300000,100%,raw-bus-access-rd,"14,146,297",4.723975
0,0,300000,100%,raw-bus-access-shared,0,4.723975
0,0,300000,100%,raw-bus-access-wr,"482,467,965",4.723975
0,0,300000,100%,raw-bus-cycles,"1,411,158,672",4.723975
0,0,300000,100%,raw-cid-write-retired,13,4.727553
0,0,300000,100%,raw-cnt-cycles,0,4.727553
0,0,300000,100%,raw-cpu-cycles,"1,412,477,294",4.727553
0,0,300000,100%,raw-crypto-spec,0,4.727553
0,0,300000,100%,raw-dmb-spec,0,4.727553
0,0,300000,100%,raw-dp-spec,"578,636,766",4.732421
0,0,300000,100%,raw-dsb-spec,0,4.732421
0,0,300000,100%,raw-dtlb-walk,"1,852,542",4.732421
0,0,300000,100%,raw-exc-dabort,0,4.732421
0,0,300000,100%,raw-exc-fiq,0,4.732421
0,0,300000,100%,raw-exc-hvc,0,4.732421
0,0,300000,100%,raw-exc-irq,"1,903",4.724393
0,0,300000,100%,raw-exc-pabort,0,4.724393
0,0,300000,100%,raw-exc-return,"182,252",4.724393
0,0,300000,100%,raw-exc-smc,0,4.724393
0,0,300000,100%,raw-exc-svc,0,4.724393
0,0,300000,100%,raw-exc-taken,"182,252",4.724393
0,0,300000,100%,raw-exc-trap-dabort,0,5.389538
0,0,300000,100%,raw-exc-trap-fiq,0,5.389538
0,0,300000,100%,raw-exc-trap-irq,0,5.389538
0,0,300000,100%,raw-exc-trap-other,0,5.389538
0,0,300000,100%,raw-exc-trap-pabort,0,5.389538
0,0,300000,100%,raw-exc-undef,0,5.389538
0,0,300000,100%,raw-inst-retired,"1,104,711,424",5.331355
0,0,300000,100%,raw-inst-spec,"1,114,057,551",5.331355
0,0,300000,100%,raw-isb-spec,0,5.331355
0,0,300000,100%,raw-itlb-walk,"6,271",5.331355
0,0,300000,100%,raw-l1d-cache,"268,804,188",5.331355
0,0,300000,100%,raw-l1d-cache-allocate,0,5.331355
0,0,300000,100%,raw-l1d-cache-inval,0,4.735596
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,4.735596
0,0,300000,100%,raw-l1d-cache-rd,"157,199,585",4.735596
0,0,300000,100%,raw-l1d-cache-refill,"3,582,742",4.735596
0,0,300000,100%,raw-l1d-cache-refill-inner,"2,750,915",4.735596
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,105,173",4.735596
0,0,300000,100%,raw-l1d-cache-refill-rd,"1,985,289",5.319206
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,700,211",5.319206
0,0,300000,100%,raw-l1d-cache-wb,"4,244,019",5.319206
0,0,300000,100%,raw-l1d-cache-wb-clean,0,5.319206
0,0,300000,100%,raw-l1d-cache-wb-victim,0,5.319206
0,0,300000,100%,raw-l1d-cache-wr,"27,449,866",5.319206
0,0,300000,100%,raw-l1d-tlb,"182,875,903",4.714988
0,0,300000,100%,raw-l1d-tlb-rd,0,4.714988
0,0,300000,100%,raw-l1d-tlb-refill,"5,894,795",4.714988
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,4.714988
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,4.714988
0,0,300000,100%,raw-l1d-tlb-wr,0,4.714988
0,0,300000,100%,raw-l1i-cache,"553,090,742",4.733057
0,0,300000,100%,raw-l1i-cache-lmiss,0,4.733057
0,0,300000,100%,raw-l1i-cache-refill,"889,449",4.733057
0,0,300000,100%,raw-l1i-tlb,"570,385,705",4.733057
0,0,300000,100%,raw-l1i-tlb-refill,"333,328",4.733057
0,0,300000,100%,raw-l2d-cache,"134,748,145",4.733057
0,0,300000,100%,raw-l2d-cache-allocate,"19,729,979",5.325688
0,0,300000,100%,raw-l2d-cache-inval,0,5.325688
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,5.325688
0,0,300000,100%,raw-l2d-cache-rd,"6,214,025",5.325688
0,0,300000,100%,raw-l2d-cache-refill,"3,604,651",5.325688
0,0,300000,100%,raw-l2d-cache-refill-rd,"2,933,886",5.325688
0,0,300000,100%,raw-l2d-cache-refill-wr,"668,632",4.730316
0,0,300000,100%,raw-l2d-cache-wb,"11,237,674",4.730316
0,0,300000,100%,raw-l2d-cache-wb-clean,0,4.730316
0,0,300000,100%,raw-l2d-cache-wb-victim,0,4.730316
0,0,300000,100%,raw-l2d-cache-wr,"128,431,091",4.730316
0,0,300000,100%,raw-l2d-tlb,"6,618,456",4.730316
0,0,300000,100%,raw-l2d-tlb-rd,0,5.388483
0,0,300000,100%,raw-l2d-tlb-refill,"1,859,018",5.388483
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,5.388483
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,5.388483
0,0,300000,100%,raw-l2d-tlb-wr,0,5.388483
0,0,300000,100%,raw-l2i-cache,0,5.388483
0,0,300000,100%,raw-l2i-cache-lmiss,0,5.318385
0,0,300000,100%,raw-l2i-cache-refill,0,5.318385
0,0,300000,100%,raw-l2i-tlb,0,5.318385
0,0,300000,100%,raw-l2i-tlb-refill,0,5.318385
0,0,300000,100%,raw-l3d-cache,"123,677,323",5.318385
0,0,300000,100%,raw-l3d-cache-allocate,"119,397,034",5.318385
0,0,300000,100%,raw-l3d-cache-inval,0,5.336493
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,5.336493
0,0,300000,100%,raw-l3d-cache-rd,"4,164,648",5.336493
0,0,300000,100%,raw-l3d-cache-refill,"1,520,673",5.336493
0,0,300000,100%,raw-l3d-cache-refill-rd,"1,520,673",5.336493
0,0,300000,100%,raw-l3d-cache-refill-wr,0,5.336493
0,0,300000,100%,raw-l3d-cache-wb,0,5.302073
0,0,300000,100%,raw-l3d-cache-wb-clean,0,5.302073
0,0,300000,100%,raw-l3d-cache-wb-victim,0,5.302073
0,0,300000,100%,raw-l3d-cache-wr,0,5.302073
0,0,300000,100%,raw-ld-retired,"222,523,126",5.302073
0,0,300000,100%,raw-ld-spec,"222,965,455",5.302073
0,0,300000,100%,raw-ldrex-spec,0,4.721216
0,0,300000,100%,raw-ldst-spec,"312,147,227",4.721216
0,0,300000,100%,raw-ll-cache,0,4.721216
0,0,300000,100%,raw-ll-cache-miss,0,4.721216
0,0,300000,100%,raw-ll-cache-miss-rd,"1,349,269",4.721216
0,0,300000,100%,raw-ll-cache-rd,"3,573,486",4.721216
0,0,300000,100%,raw-mem-access,"703,656,497",4.728919
0,0,300000,100%,raw-mem-access-rd,"157,050,064",4.728919
0,0,300000,100%,raw-mem-access-wr,"546,606,433",4.728919
0,0,300000,100%,raw-memory-error,0,4.728919
0,0,300000,100%,raw-op-retired,0,4.728919
0,0,300000,100%,raw-op-spec,0,4.728919
0,0,300000,100%,raw-pc-write-retired,"193,428,916",5.303506
0,0,300000,100%,raw-pc-write-spec,"228,408,802",5.303506
0,0,300000,100%,raw-rc-ld-spec,0,5.303506
0,0,300000,100%,raw-rc-st-spec,0,5.303506
0,0,300000,100%,raw-remote-access,0,5.303506
0,0,300000,100%,raw-remote-access-rd,0,5.303506
